congress,number,type,origin_chamber,title,latest_action_date,latest_action_text,update_date,url
110,4,HCONRES,House,Urging increased Federal funding for juvenile (Type 1) diabetes research.,2007-02-02,Referred to the Subcommittee on Health.,2024-02-05,https://api.congress.gov/v3/bill/110/hconres/4?format=json
110,35,HCONRES,House,Supporting the goals and ideals of National Black HIV/AIDS Awareness Day.,2007-02-07,Sponsor introductory remarks on measure. (CR H1311),2025-04-21,https://api.congress.gov/v3/bill/110/hconres/35?format=json
110,72,HCONRES,House,"Recognizing and honoring America's labor movement, supporting the designation of a National Labor History Month, and for other purposes.",2007-02-16,Referred to the House Committee on Education and Labor.,2025-07-21,https://api.congress.gov/v3/bill/110/hconres/72?format=json
110,70,HCONRES,House,"Supporting the goals and ideals of National Celiac Awareness Month, and for other purposes.",2007-02-27,Referred to the Subcommittee on Health.,2025-01-02,https://api.congress.gov/v3/bill/110/hconres/70?format=json
110,75,HCONRES,House,Expressing the sense of Congress that the global use of child soldiers is unacceptable and that the international community should find remedies end this practice.,2007-02-27,Referred to the House Committee on Foreign Affairs.,2025-01-02,https://api.congress.gov/v3/bill/110/hconres/75?format=json
110,52,HCONRES,House,Supporting the goals and ideals of American Heart Month.,2007-03-01,"Received in the Senate and referred to the Committee on Health, Education, Labor, and Pensions.",2025-04-21,https://api.congress.gov/v3/bill/110/hconres/52?format=json
110,82,HCONRES,House,Expressing the sense of the Congress that a commemorative postage stamp should be issued in honor of the USS New Jersey and all those who served aboard her.,2007-03-06,Referred to the House Committee on Oversight and Government Reform.,2025-02-04,https://api.congress.gov/v3/bill/110/hconres/82?format=json
110,81,HCONRES,House,Expressing the sense of the Congress regarding bone marrow diseases.,2007-03-07,Referred to the Subcommittee on Health.,2025-04-07,https://api.congress.gov/v3/bill/110/hconres/81?format=json
110,85,HCONRES,House,Supporting the goals and ideals of National Cystic Fibrosis Awareness Month.,2007-03-09,Referred to the Subcommittee on Health.,2025-12-05,https://api.congress.gov/v3/bill/110/hconres/85?format=json
110,91,HCONRES,House,Expressing the need for enhanced public awareness of traumatic brain injury and support for the designation of a National Brain Injury Awareness Month.,2007-03-14,Referred to the Subcommittee on Health.,2025-01-02,https://api.congress.gov/v3/bill/110/hconres/91?format=json
110,24,HCONRES,House,Expressing the sense of the Congress that the President should grant a pardon to Marcus Mosiah Garvey to clear his name and affirm his innocence of crimes for which he was unjustly prosecuted and convicted.,2007-03-15,Sponsor introductory remarks on measure. (CR E561-563),2022-02-08,https://api.congress.gov/v3/bill/110/hconres/24?format=json
110,20,HCONRES,House,"Calling on the Government of the United Kingdom to immediately establish a full, independent, and public judicial inquiry into the murder of Northern Ireland defense attorney Patrick Finucane, as recommended by Judge Peter Cory as part of the Weston Park Agreement, in order to move forward on the Northern Ireland peace process.",2007-03-19,Message on Senate action sent to the House.,2025-04-07,https://api.congress.gov/v3/bill/110/hconres/20?format=json
110,15,HCONRES,House,"Expressing the sense of Congress that the Government of Iraq should not grant blanket amnesty to persons known to have attacked, killed, or wounded members of the United States Armed Forces in Iraq.",2007-03-20,Committee Hearings Held.,2025-04-28,https://api.congress.gov/v3/bill/110/hconres/15?format=json
110,65,HCONRES,House,"Disagreeing with the plan announced by the President on January 10, 2007, to increase by more than 20,000 the number of United States combat troops in Iraq, and urging the President instead to consider options and alternatives for achieving success in Iraq.",2007-03-20,Committee Hearings Held.,2025-06-06,https://api.congress.gov/v3/bill/110/hconres/65?format=json
110,42,HCONRES,House,Honoring the heroic service and sacrifice of the glider pilots of the United States Army Air Forces during World War II.,2007-03-21,Received in the Senate and referred to the Committee on Armed Services.,2025-12-05,https://api.congress.gov/v3/bill/110/hconres/42?format=json
110,110,HCONRES,House,"Expressing the sense of Congress that Iraq should vote to approve or disapprove the continued deployment of United States Armed Forces to Iraq and, unless Iraq votes to approve such continued deployment, the President of the United States should commence the phased redeployment of United States Armed Forces from Iraq within 60 days of the Iraqi vote.",2007-03-29,"Referred to the Committee on Foreign Affairs, and in addition to the Committee on Armed Services, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",2025-06-06,https://api.congress.gov/v3/bill/110/hconres/110?format=json
110,102,HCONRES,House,Supporting the goals and ideals of observing the National Day of Human Trafficking Awareness each year to raise awareness of and opposition to human trafficking.,2007-03-30,"Referred to the Subcommittee on Immigration, Citizenship, Refugees, Border Security, and International Law.",2025-01-02,https://api.congress.gov/v3/bill/110/hconres/102?format=json
110,90,HCONRES,House,Recognizing the dedication and honorable service of members of the Armed Forces who are serving or have served as military nurses.,2007-04-03,Referred to the Subcommittee on Military Personnel.,2025-06-06,https://api.congress.gov/v3/bill/110/hconres/90?format=json
110,92,HCONRES,House,"Recognizing and commending Dr. Robert Meaders and all of the volunteers and contributors of Operation Helmet for their efforts in sending out 35,000 helmet upgrade kits to members of the United States Armed Forces deployed in Iraq and Afghanistan.",2007-04-03,Referred to the Subcommittee on Military Personnel.,2025-06-06,https://api.congress.gov/v3/bill/110/hconres/92?format=json
110,50,HCONRES,House,Calling on the Government of Venezuela to uphold the human rights and civil liberties of the people of Venezuela.,2007-04-17,"Referred to the Subcommittee on International Organizations, Human Rights, and Oversight.",2025-01-23,https://api.congress.gov/v3/bill/110/hconres/50?format=json
110,55,HCONRES,House,"Recognizing that the plight of Kashmiri Pandits has been an ongoing concern since 1989 and that their physical, political, and economic security should be safeguarded by the Government of India and the state government of Jammu and Kashmir.",2007-04-17,"Referred to the Subcommittee on International Organizations, Human Rights, and Oversight.",2025-12-04,https://api.congress.gov/v3/bill/110/hconres/55?format=json
110,100,HCONRES,House,Condemning the recent violent actions of the Government of Zimbabwe against peaceful opposition party activists and members of civil society.,2007-04-18,Received in the Senate and referred to the Committee on Foreign Relations.,2025-12-05,https://api.congress.gov/v3/bill/110/hconres/100?format=json
110,10,HCONRES,House,Expressing the sense of the Congress that the tax give away since 2001 to the wealthiest 5 percent of Americans should be repealed and those monies instead invested in vital programs to relieve the growing burden on the working poor and to alleviate poverty in America.,2007-04-26,Sponsor introductory remarks on measure. (CR H4200),2024-02-07,https://api.congress.gov/v3/bill/110/hconres/10?format=json
110,130,HCONRES,House,"Supporting the goals and ideals of Mental Health Month, and for other purposes.",2007-04-26,Referred to the Subcommittee on Health.,2025-01-02,https://api.congress.gov/v3/bill/110/hconres/130?format=json
110,132,HCONRES,House,Recognizing the historical significance of the Mexican holiday of Cinco de Mayo.,2007-04-26,Referred to the House Committee on Foreign Affairs.,2025-12-06,https://api.congress.gov/v3/bill/110/hconres/132?format=json
110,95,HCONRES,House,"Honoring the career and research accomplishments of Frances E. Allen, the 2006 recipient of the A.M. Turing Award.",2007-05-02,Received in the Senate and referred to the Committee on the Judiciary.,2025-07-21,https://api.congress.gov/v3/bill/110/hconres/95?format=json
110,71,HCONRES,House,"Commemorating the 85th Anniversary of the founding of the American Hellenic Educational Progressive Association (AHEPA), a leading association for the Nation's 1.3 million American citizens of Greek ancestry, and Philhellenes.",2007-05-15,Message on Senate action sent to the House.,2025-07-21,https://api.congress.gov/v3/bill/110/hconres/71?format=json
110,62,HCONRES,House,"Supporting the goals and ideals of a National Children and Families Day, in order to encourage adults in the United States to support and listen to children and to help children throughout the Nation achieve their hopes and dreams, and for other purposes.",2007-05-17,Message on Senate action sent to the House.,2025-04-21,https://api.congress.gov/v3/bill/110/hconres/62?format=json
110,150,HCONRES,House,Expressing gratitude to the people and Government of the Republic of Georgia for their support and commitment in combating Islamist terrorism worldwide and their specific efforts to bring security and stability in Iraq and Afghanistan.,2007-05-17,Referred to the House Committee on Foreign Affairs.,2025-01-02,https://api.congress.gov/v3/bill/110/hconres/150?format=json
110,101,HCONRES,House,"Expressing the sense of Congress that the bicentennial of the 1807 Abolition of the Slave Trade Act, which banned the slave trade in the British Empire, allowed for the search and seizure of ships suspected of transporting enslaved people, and provided compensation for the freedom of slaves, should be commemorated.",2007-06-15,Sponsor introductory remarks on measure. (CR E305),2025-01-02,https://api.congress.gov/v3/bill/110/hconres/101?format=json
110,80,HCONRES,House,"Calling on the Government of Uganda and the Lord's Resistance Army (LRA) to recommit to a political solution to the conflict in northern Uganda by engaging in good-faith negotiations, and urging immediate and substantial support for the ongoing peace process from the United States and the international community.",2007-06-19,Received in the Senate and referred to the Committee on Foreign Relations.,2025-04-07,https://api.congress.gov/v3/bill/110/hconres/80?format=json
110,21,HCONRES,House,Calling on the United Nations Security Council to charge Iranian leader Mahmoud Ahmadinejad with violating the 1948 Convention on the Prevention and Punishment of the Crime of Genocide and United Nations Charter because of his calls for the destruction of the State of Israel.,2007-06-21,Received in the Senate and referred to the Committee on Foreign Relations.,2025-04-28,https://api.congress.gov/v3/bill/110/hconres/21?format=json
110,111,HCONRES,House,Expressing the sense of Congress that Lionel Hampton should be honored for his contributions to American music.,2007-06-27,Referred to the Subcommittee on Healthy Families and Communities.,2025-07-21,https://api.congress.gov/v3/bill/110/hconres/111?format=json
110,7,HCONRES,House,Calling on the League of Arab States and each Member State individually to acknowledge the genocide in the Darfur region of Sudan and to step up their efforts to stop the genocide in Darfur.,2007-06-28,Placed on Senate Legislative Calendar under General Orders. Calendar No. 244.,2025-04-28,https://api.congress.gov/v3/bill/110/hconres/7?format=json
110,120,HCONRES,House,Expressing the sense of Congress that the Federal government and the people of the United States should honor the spirit of volunteerism and personal growth promoted by the Congressional Award Program.,2007-07-09,Referred to the Subcommittee on Healthy Families and Communities.,2025-07-21,https://api.congress.gov/v3/bill/110/hconres/120?format=json
110,140,HCONRES,House,Financial Services Diversity Initiative,2007-09-25,"Received in the Senate and referred to the Committee on Banking, Housing, and Urban Affairs.",2026-03-23,https://api.congress.gov/v3/bill/110/hconres/140?format=json
110,25,HCONRES,House,"Expressing the sense of Congress that it is the goal of the United States that, not later than January 1, 2025, the agricultural, forestry, and working land of the United States should provide from renewable resources not less than 25 percent of the total energy consumed in the United States and continue to produce safe, abundant, and affordable food, feed, and fiber.",2007-10-16,"Received in the Senate and referred to the Committee on Agriculture, Nutrition, and Forestry.",2025-12-05,https://api.congress.gov/v3/bill/110/hconres/25?format=json
110,60,HCONRES,House,"Expressing support for the goals of Veterans Educate Today's Students (VETS) Day, and for other purposes.",2007-11-06,Received in the Senate and referred to the Committee on Veterans' Affairs.,2025-01-14,https://api.congress.gov/v3/bill/110/hconres/60?format=json
110,122,HCONRES,House,Supporting the goal and mission of America Recycles Day.,2007-11-14,Received in the Senate and referred to the Committee on Environment and Public Works.,2025-01-14,https://api.congress.gov/v3/bill/110/hconres/122?format=json
110,112,HCONRES,House,Supporting the goals and ideas of a National Child Care Worthy Wage Day.,2008-05-02,Message on Senate action sent to the House.,2026-03-23,https://api.congress.gov/v3/bill/110/hconres/112?format=json
110,2,HCONRES,House,Expressing the sense of the Congress that children in the United States should understand and appreciate the contributions of individuals from the territories of the United States and the contributions of such individuals in United States history.,2008-06-24,Received in the Senate and referred to the Committee on Energy and Natural Resources.,2026-03-24,https://api.congress.gov/v3/bill/110/hconres/2?format=json
110,32,HCONRES,House,"Honoring the members of the United States Air Force who were killed in the June 25, 1996, terrorist bombing of the Khobar Towers United States military housing compound near Dhahran, Saudi Arabia.",2008-06-25,Message on Senate action sent to the House.,2025-06-06,https://api.congress.gov/v3/bill/110/hconres/32?format=json
110,61,HCONRES,House,Expressing the sense of the Congress that the United States flag flown over the United States Capitol should be lowered to half-mast one day each month in honor of the brave men and women from the United States who have lost their lives in military conflicts.,2008-10-02,Referred to the Committee on Rules and Administration.,2025-01-14,https://api.congress.gov/v3/bill/110/hconres/61?format=json
111,12,HCONRES,House,Expressing the sense of Congress that the United States Postal Service should issue a commemorative postage stamp honoring Sam Phillips and that the Citizens' Stamp Advisory Committee should recommend to the Postmaster General that such a stamp be issued.,2009-01-08,Referred to the House Committee on Oversight and Government Reform.,2025-02-04,https://api.congress.gov/v3/bill/111/hconres/12?format=json
111,20,HCONRES,House,Expressing the sense of Congress that the global use of child soldiers is unacceptable and that the international community should find remedies to end this practice.,2009-01-13,Referred to the House Committee on Foreign Affairs.,2025-04-07,https://api.congress.gov/v3/bill/111/hconres/20?format=json
111,10,HCONRES,House,"Supporting the observance of World Stroke Awareness Day, and for other purposes.",2009-01-14,Referred to the Subcommittee on Health.,2024-02-07,https://api.congress.gov/v3/bill/111/hconres/10?format=json
111,22,HCONRES,House,Establishing the Joint Select Committee on Reorganization and Reform of Foreign Assistance Agencies and Programs.,2009-01-15,Referred to the House Committee on Rules.,2025-04-07,https://api.congress.gov/v3/bill/111/hconres/22?format=json
111,32,HCONRES,House,"Expressing the sense of Congress that the 40th anniversary of the oil spill off the coast of Santa Barbara, California, should be remembered as an ecological and economic disaster that triggered major environmental legislation and helped launch the modern environmental movement, and for other purposes.",2009-01-28,Referred to the House Committee on Natural Resources.,2024-02-07,https://api.congress.gov/v3/bill/111/hconres/32?format=json
111,2,HCONRES,House,"Expressing the sense of the Congress that the United States Fish and Wildlife Service should incorporate consideration of global warming and sea-level rise into the comprehensive conservation plans for coastal national wildlife refuges, and for other purposes.",2009-02-04,"Referred to the Subcommittee on Insular Affairs, Oceans and Wildlife.",2025-01-02,https://api.congress.gov/v3/bill/111/hconres/2?format=json
111,42,HCONRES,House,"Recognizing the contributions of the New York Public Library's Schomburg Center for Research in Black Culture in educating the people of the United States about the African-American migration experience, and for other purposes.",2009-09-14,"Referred to the Subcommittee on the Constitution, Civil Rights, and Civil Liberties.",2021-09-28,https://api.congress.gov/v3/bill/111/hconres/42?format=json
110,11,HCONRES,House,"Entitled the ""English Plus Resolution"".",2007-01-04,Referred to the House Committee on Education and Labor.,2025-07-21,https://api.congress.gov/v3/bill/110/hconres/11?format=json
110,12,HCONRES,House,Requiring the display of the Ten Commandments in the United States Capitol.,2007-01-05,Sponsor introductory remarks on measure. (CR E22-23),2024-02-07,https://api.congress.gov/v3/bill/110/hconres/12?format=json
110,14,HCONRES,House,Expressing that Congress has the sole and exclusive power to declare war.,2007-01-05,Referred to the House Committee on Foreign Affairs.,2024-02-07,https://api.congress.gov/v3/bill/110/hconres/14?format=json
110,1,HCONRES,House,Regarding consent to assemble outside the seat of government.,2007-01-08,Received in the Senate and referred to the Committee on Rules and Administration.,2025-01-14,https://api.congress.gov/v3/bill/110/hconres/1?format=json
110,22,HCONRES,House,Expressing the sense of Congress that the President should provide notice of withdrawal of the United States from the North American Free Trade Agreement (NAFTA).,2007-01-11,Referred to the Subcommittee on Trade.,2024-02-07,https://api.congress.gov/v3/bill/110/hconres/22?format=json
110,31,HCONRES,House,Honoring the Mare Island Original 21ers for their efforts to remedy racial discrimination in employment at Mare Island Naval Shipyard.,2007-01-18,"Received in the Senate and referred to the Committee on Health, Education, Labor, and Pensions.",2025-07-21,https://api.congress.gov/v3/bill/110/hconres/31?format=json
110,40,HCONRES,House,Expressing the sense of Congress that the United States should not engage in the construction of a North American Free Trade Agreement (NAFTA) Superhighway System or enter into a North American Union with Mexico and Canada.,2007-01-23,Referred to the Subcommittee on Highways and Transit.,2024-02-07,https://api.congress.gov/v3/bill/110/hconres/40?format=json
110,41,HCONRES,House,Providing for a conditional adjournment of the House of Representatives.,2007-01-24,Message on Senate action sent to the House.,2020-07-23,https://api.congress.gov/v3/bill/110/hconres/41?format=json
110,45,HCONRES,House,Expressing the sense of Congress on the new strategy in Iraq.,2007-01-24,"Referred to the Committee on Foreign Affairs, and in addition to the Committee on Armed Services, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",2025-06-06,https://api.congress.gov/v3/bill/110/hconres/45?format=json
110,5,HCONRES,House,"Expressing support for the designation and goals of ""Hire a Veteran Week"" and encouraging the President to issue a proclamation supporting those goals.",2007-01-31,Received in the Senate and Read twice and referred to the Committee on Veterans' Affairs.,2025-06-06,https://api.congress.gov/v3/bill/110/hconres/5?format=json
110,30,HCONRES,House,"Raising awareness and encouraging prevention of stalking by establishing January 2007 as ""National Stalking Awareness Month"".",2007-02-02,"Referred to the Subcommittee on Crime, Terrorism, and Homeland Security.",2025-12-05,https://api.congress.gov/v3/bill/110/hconres/30?format=json
110,51,HCONRES,House,Supporting the goals and ideals of National Wear Red Day.,2007-02-02,Referred to the Subcommittee on Health.,2024-02-05,https://api.congress.gov/v3/bill/110/hconres/51?format=json
110,4,HCONRES,House,Urging increased Federal funding for juvenile (Type 1) diabetes research.,2007-02-02,Referred to the Subcommittee on Health.,2024-02-05,https://api.congress.gov/v3/bill/110/hconres/4?format=json
110,35,HCONRES,House,Supporting the goals and ideals of National Black HIV/AIDS Awareness Day.,2007-02-07,Sponsor introductory remarks on measure. (CR H1311),2025-04-21,https://api.congress.gov/v3/bill/110/hconres/35?format=json
110,72,HCONRES,House,"Recognizing and honoring America's labor movement, supporting the designation of a National Labor History Month, and for other purposes.",2007-02-16,Referred to the House Committee on Education and Labor.,2025-07-21,https://api.congress.gov/v3/bill/110/hconres/72?format=json
110,70,HCONRES,House,"Supporting the goals and ideals of National Celiac Awareness Month, and for other purposes.",2007-02-27,Referred to the Subcommittee on Health.,2025-01-02,https://api.congress.gov/v3/bill/110/hconres/70?format=json
110,75,HCONRES,House,Expressing the sense of Congress that the global use of child soldiers is unacceptable and that the international community should find remedies end this practice.,2007-02-27,Referred to the House Committee on Foreign Affairs.,2025-01-02,https://api.congress.gov/v3/bill/110/hconres/75?format=json
110,52,HCONRES,House,Supporting the goals and ideals of American Heart Month.,2007-03-01,"Received in the Senate and referred to the Committee on Health, Education, Labor, and Pensions.",2025-04-21,https://api.congress.gov/v3/bill/110/hconres/52?format=json
110,82,HCONRES,House,Expressing the sense of the Congress that a commemorative postage stamp should be issued in honor of the USS New Jersey and all those who served aboard her.,2007-03-06,Referred to the House Committee on Oversight and Government Reform.,2025-02-04,https://api.congress.gov/v3/bill/110/hconres/82?format=json
110,81,HCONRES,House,Expressing the sense of the Congress regarding bone marrow diseases.,2007-03-07,Referred to the Subcommittee on Health.,2025-04-07,https://api.congress.gov/v3/bill/110/hconres/81?format=json
110,85,HCONRES,House,Supporting the goals and ideals of National Cystic Fibrosis Awareness Month.,2007-03-09,Referred to the Subcommittee on Health.,2025-12-05,https://api.congress.gov/v3/bill/110/hconres/85?format=json
110,91,HCONRES,House,Expressing the need for enhanced public awareness of traumatic brain injury and support for the designation of a National Brain Injury Awareness Month.,2007-03-14,Referred to the Subcommittee on Health.,2025-01-02,https://api.congress.gov/v3/bill/110/hconres/91?format=json
110,24,HCONRES,House,Expressing the sense of the Congress that the President should grant a pardon to Marcus Mosiah Garvey to clear his name and affirm his innocence of crimes for which he was unjustly prosecuted and convicted.,2007-03-15,Sponsor introductory remarks on measure. (CR E561-563),2022-02-08,https://api.congress.gov/v3/bill/110/hconres/24?format=json
110,20,HCONRES,House,"Calling on the Government of the United Kingdom to immediately establish a full, independent, and public judicial inquiry into the murder of Northern Ireland defense attorney Patrick Finucane, as recommended by Judge Peter Cory as part of the Weston Park Agreement, in order to move forward on the Northern Ireland peace process.",2007-03-19,Message on Senate action sent to the House.,2025-04-07,https://api.congress.gov/v3/bill/110/hconres/20?format=json
110,15,HCONRES,House,"Expressing the sense of Congress that the Government of Iraq should not grant blanket amnesty to persons known to have attacked, killed, or wounded members of the United States Armed Forces in Iraq.",2007-03-20,Committee Hearings Held.,2025-04-28,https://api.congress.gov/v3/bill/110/hconres/15?format=json
110,65,HCONRES,House,"Disagreeing with the plan announced by the President on January 10, 2007, to increase by more than 20,000 the number of United States combat troops in Iraq, and urging the President instead to consider options and alternatives for achieving success in Iraq.",2007-03-20,Committee Hearings Held.,2025-06-06,https://api.congress.gov/v3/bill/110/hconres/65?format=json
110,42,HCONRES,House,Honoring the heroic service and sacrifice of the glider pilots of the United States Army Air Forces during World War II.,2007-03-21,Received in the Senate and referred to the Committee on Armed Services.,2025-12-05,https://api.congress.gov/v3/bill/110/hconres/42?format=json
110,110,HCONRES,House,"Expressing the sense of Congress that Iraq should vote to approve or disapprove the continued deployment of United States Armed Forces to Iraq and, unless Iraq votes to approve such continued deployment, the President of the United States should commence the phased redeployment of United States Armed Forces from Iraq within 60 days of the Iraqi vote.",2007-03-29,"Referred to the Committee on Foreign Affairs, and in addition to the Committee on Armed Services, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",2025-06-06,https://api.congress.gov/v3/bill/110/hconres/110?format=json
110,102,HCONRES,House,Supporting the goals and ideals of observing the National Day of Human Trafficking Awareness each year to raise awareness of and opposition to human trafficking.,2007-03-30,"Referred to the Subcommittee on Immigration, Citizenship, Refugees, Border Security, and International Law.",2025-01-02,https://api.congress.gov/v3/bill/110/hconres/102?format=json
110,90,HCONRES,House,Recognizing the dedication and honorable service of members of the Armed Forces who are serving or have served as military nurses.,2007-04-03,Referred to the Subcommittee on Military Personnel.,2025-06-06,https://api.congress.gov/v3/bill/110/hconres/90?format=json
110,92,HCONRES,House,"Recognizing and commending Dr. Robert Meaders and all of the volunteers and contributors of Operation Helmet for their efforts in sending out 35,000 helmet upgrade kits to members of the United States Armed Forces deployed in Iraq and Afghanistan.",2007-04-03,Referred to the Subcommittee on Military Personnel.,2025-06-06,https://api.congress.gov/v3/bill/110/hconres/92?format=json
110,50,HCONRES,House,Calling on the Government of Venezuela to uphold the human rights and civil liberties of the people of Venezuela.,2007-04-17,"Referred to the Subcommittee on International Organizations, Human Rights, and Oversight.",2025-01-23,https://api.congress.gov/v3/bill/110/hconres/50?format=json
110,55,HCONRES,House,"Recognizing that the plight of Kashmiri Pandits has been an ongoing concern since 1989 and that their physical, political, and economic security should be safeguarded by the Government of India and the state government of Jammu and Kashmir.",2007-04-17,"Referred to the Subcommittee on International Organizations, Human Rights, and Oversight.",2025-12-04,https://api.congress.gov/v3/bill/110/hconres/55?format=json
110,100,HCONRES,House,Condemning the recent violent actions of the Government of Zimbabwe against peaceful opposition party activists and members of civil society.,2007-04-18,Received in the Senate and referred to the Committee on Foreign Relations.,2025-12-05,https://api.congress.gov/v3/bill/110/hconres/100?format=json
110,10,HCONRES,House,Expressing the sense of the Congress that the tax give away since 2001 to the wealthiest 5 percent of Americans should be repealed and those monies instead invested in vital programs to relieve the growing burden on the working poor and to alleviate poverty in America.,2007-04-26,Sponsor introductory remarks on measure. (CR H4200),2024-02-07,https://api.congress.gov/v3/bill/110/hconres/10?format=json
110,130,HCONRES,House,"Supporting the goals and ideals of Mental Health Month, and for other purposes.",2007-04-26,Referred to the Subcommittee on Health.,2025-01-02,https://api.congress.gov/v3/bill/110/hconres/130?format=json
110,132,HCONRES,House,Recognizing the historical significance of the Mexican holiday of Cinco de Mayo.,2007-04-26,Referred to the House Committee on Foreign Affairs.,2025-12-06,https://api.congress.gov/v3/bill/110/hconres/132?format=json
110,95,HCONRES,House,"Honoring the career and research accomplishments of Frances E. Allen, the 2006 recipient of the A.M. Turing Award.",2007-05-02,Received in the Senate and referred to the Committee on the Judiciary.,2025-07-21,https://api.congress.gov/v3/bill/110/hconres/95?format=json
110,71,HCONRES,House,"Commemorating the 85th Anniversary of the founding of the American Hellenic Educational Progressive Association (AHEPA), a leading association for the Nation's 1.3 million American citizens of Greek ancestry, and Philhellenes.",2007-05-15,Message on Senate action sent to the House.,2025-07-21,https://api.congress.gov/v3/bill/110/hconres/71?format=json
110,62,HCONRES,House,"Supporting the goals and ideals of a National Children and Families Day, in order to encourage adults in the United States to support and listen to children and to help children throughout the Nation achieve their hopes and dreams, and for other purposes.",2007-05-17,Message on Senate action sent to the House.,2025-04-21,https://api.congress.gov/v3/bill/110/hconres/62?format=json
110,150,HCONRES,House,Expressing gratitude to the people and Government of the Republic of Georgia for their support and commitment in combating Islamist terrorism worldwide and their specific efforts to bring security and stability in Iraq and Afghanistan.,2007-05-17,Referred to the House Committee on Foreign Affairs.,2025-01-02,https://api.congress.gov/v3/bill/110/hconres/150?format=json
110,101,HCONRES,House,"Expressing the sense of Congress that the bicentennial of the 1807 Abolition of the Slave Trade Act, which banned the slave trade in the British Empire, allowed for the search and seizure of ships suspected of transporting enslaved people, and provided compensation for the freedom of slaves, should be commemorated.",2007-06-15,Sponsor introductory remarks on measure. (CR E305),2025-01-02,https://api.congress.gov/v3/bill/110/hconres/101?format=json
110,80,HCONRES,House,"Calling on the Government of Uganda and the Lord's Resistance Army (LRA) to recommit to a political solution to the conflict in northern Uganda by engaging in good-faith negotiations, and urging immediate and substantial support for the ongoing peace process from the United States and the international community.",2007-06-19,Received in the Senate and referred to the Committee on Foreign Relations.,2025-04-07,https://api.congress.gov/v3/bill/110/hconres/80?format=json
110,21,HCONRES,House,Calling on the United Nations Security Council to charge Iranian leader Mahmoud Ahmadinejad with violating the 1948 Convention on the Prevention and Punishment of the Crime of Genocide and United Nations Charter because of his calls for the destruction of the State of Israel.,2007-06-21,Received in the Senate and referred to the Committee on Foreign Relations.,2025-04-28,https://api.congress.gov/v3/bill/110/hconres/21?format=json
110,111,HCONRES,House,Expressing the sense of Congress that Lionel Hampton should be honored for his contributions to American music.,2007-06-27,Referred to the Subcommittee on Healthy Families and Communities.,2025-07-21,https://api.congress.gov/v3/bill/110/hconres/111?format=json
110,7,HCONRES,House,Calling on the League of Arab States and each Member State individually to acknowledge the genocide in the Darfur region of Sudan and to step up their efforts to stop the genocide in Darfur.,2007-06-28,Placed on Senate Legislative Calendar under General Orders. Calendar No. 244.,2025-04-28,https://api.congress.gov/v3/bill/110/hconres/7?format=json
110,120,HCONRES,House,Expressing the sense of Congress that the Federal government and the people of the United States should honor the spirit of volunteerism and personal growth promoted by the Congressional Award Program.,2007-07-09,Referred to the Subcommittee on Healthy Families and Communities.,2025-07-21,https://api.congress.gov/v3/bill/110/hconres/120?format=json
110,140,HCONRES,House,Financial Services Diversity Initiative,2007-09-25,"Received in the Senate and referred to the Committee on Banking, Housing, and Urban Affairs.",2026-03-23,https://api.congress.gov/v3/bill/110/hconres/140?format=json
110,25,HCONRES,House,"Expressing the sense of Congress that it is the goal of the United States that, not later than January 1, 2025, the agricultural, forestry, and working land of the United States should provide from renewable resources not less than 25 percent of the total energy consumed in the United States and continue to produce safe, abundant, and affordable food, feed, and fiber.",2007-10-16,"Received in the Senate and referred to the Committee on Agriculture, Nutrition, and Forestry.",2025-12-05,https://api.congress.gov/v3/bill/110/hconres/25?format=json
110,60,HCONRES,House,"Expressing support for the goals of Veterans Educate Today's Students (VETS) Day, and for other purposes.",2007-11-06,Received in the Senate and referred to the Committee on Veterans' Affairs.,2025-01-14,https://api.congress.gov/v3/bill/110/hconres/60?format=json
110,122,HCONRES,House,Supporting the goal and mission of America Recycles Day.,2007-11-14,Received in the Senate and referred to the Committee on Environment and Public Works.,2025-01-14,https://api.congress.gov/v3/bill/110/hconres/122?format=json
110,112,HCONRES,House,Supporting the goals and ideas of a National Child Care Worthy Wage Day.,2008-05-02,Message on Senate action sent to the House.,2026-03-23,https://api.congress.gov/v3/bill/110/hconres/112?format=json
110,2,HCONRES,House,Expressing the sense of the Congress that children in the United States should understand and appreciate the contributions of individuals from the territories of the United States and the contributions of such individuals in United States history.,2008-06-24,Received in the Senate and referred to the Committee on Energy and Natural Resources.,2026-03-24,https://api.congress.gov/v3/bill/110/hconres/2?format=json
110,32,HCONRES,House,"Honoring the members of the United States Air Force who were killed in the June 25, 1996, terrorist bombing of the Khobar Towers United States military housing compound near Dhahran, Saudi Arabia.",2008-06-25,Message on Senate action sent to the House.,2025-06-06,https://api.congress.gov/v3/bill/110/hconres/32?format=json
110,61,HCONRES,House,Expressing the sense of the Congress that the United States flag flown over the United States Capitol should be lowered to half-mast one day each month in honor of the brave men and women from the United States who have lost their lives in military conflicts.,2008-10-02,Referred to the Committee on Rules and Administration.,2025-01-14,https://api.congress.gov/v3/bill/110/hconres/61?format=json
